epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,5.02013,2.02656,0.28571,0.71429,2.0332,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05,0.00013635,4.545e-05
2,6.5678,2.06204,0.14286,0.71429,2.04102,0.000285121,9.50405e-05,0.000285121,9.50405e-05,0.000285121,9.50405e-05,0.000285121,9.50405e-05
3,8.31379,2.03442,0.14286,0.57143,2.0625,0.000417695,0.000139232,0.000417695,0.000139232,0.000417695,0.000139232,0.000417695,0.000139232
4,9.59515,2.03413,0.14286,0.57143,2.07422,0.000534069,0.000178023,0.000534069,0.000178023,0.000534069,0.000178023,0.000534069,0.000178023
5,11.0241,1.99959,0.14286,0.57143,2.08594,0.000634246,0.000211415,0.000634246,0.000211415,0.000634246,0.000211415,0.000634246,0.000211415
6,12.5123,2.02406,0.14286,0.57143,2.0625,0.000718224,0.000239408,0.000718224,0.000239408,0.000718224,0.000239408,0.000718224,0.000239408
7,13.7798,1.9406,0.14286,0.42857,2.04688,0.000786003,0.000262001,0.000786003,0.000262001,0.000786003,0.000262001,0.000786003,0.000262001
8,14.9333,1.9201,0.14286,0.42857,2.03711,0.000837584,0.000279195,0.000837584,0.000279195,0.000837584,0.000279195,0.000837584,0.000279195
9,16.1252,1.89468,0.14286,0.42857,2.02539,0.000872967,0.000290989,0.000872967,0.000290989,0.000872967,0.000290989,0.000872967,0.000290989
10,17.0762,1.88016,0.14286,0.57143,2.01172,0.000892152,0.000297384,0.000892152,0.000297384,0.000892152,0.000297384,0.000892152,0.000297384
11,47.4009,1.8686,0.14286,0.57143,2.00781,0.000895138,0.000298379,0.000895138,0.000298379,0.000895138,0.000298379,0.000895138,0.000298379
12,48.3854,1.83933,0.14286,0.71429,1.98633,0.000881925,0.000293975,0.000881925,0.000293975,0.000881925,0.000293975,0.000881925,0.000293975
13,49.1907,1.85614,0.14286,0.71429,1.9834,0.000852515,0.000284172,0.000852515,0.000284172,0.000852515,0.000284172,0.000852515,0.000284172
14,49.9939,1.76205,0.14286,0.71429,1.97656,0.000806906,0.000268969,0.000806906,0.000268969,0.000806906,0.000268969,0.000806906,0.000268969
15,50.6377,1.79547,0.14286,0.71429,1.96777,0.000745098,0.000248366,0.000745098,0.000248366,0.000745098,0.000248366,0.000745098,0.000248366
16,51.3623,1.7488,0.14286,0.71429,1.96484,0.000667092,0.000222364,0.000667092,0.000222364,0.000667092,0.000222364,0.000667092,0.000222364
17,51.9169,1.73238,0.14286,0.71429,1.96289,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072,0.000567216,0.000189072
18,52.7278,1.71376,0.14286,0.71429,1.96191,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077,0.00043223,0.000144077
19,53.3836,1.7322,0.14286,0.71429,1.95215,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05,0.000297243,9.9081e-05
20,54.1628,1.71345,0.14286,0.71429,1.95215,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05,0.000162257,5.40855e-05
