epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.65217,1.62583,0.2,1,1.58691,0.00016665,5.555e-05,0.00016665,5.555e-05,0.00016665,5.555e-05,0.00016665,5.555e-05
2,11.7633,1.65049,0.4,1,1.52344,0.000359371,0.00011979,0.000359371,0.00011979,0.000359371,0.00011979,0.000359371,0.00011979
3,13.2524,1.58035,0.4,1,1.52344,0.000544172,0.000181391,0.000544172,0.000181391,0.000544172,0.000181391,0.000544172,0.000181391
4,14.6098,1.54447,0.4,1,1.49316,0.000721055,0.000240352,0.000721055,0.000240352,0.000721055,0.000240352,0.000721055,0.000240352
5,15.836,1.48803,0.4,1,1.47461,0.000890018,0.000296673,0.000890018,0.000296673,0.000890018,0.000296673,0.000890018,0.000296673
6,17.0929,1.43666,0.4,1,1.47363,0.00105106,0.000350354,0.00105106,0.000350354,0.00105106,0.000350354,0.00105106,0.000350354
7,18.2841,1.40355,0.4,1,1.4668,0.00120419,0.000401395,0.00120419,0.000401395,0.00120419,0.000401395,0.00120419,0.000401395
8,19.4816,1.40052,0.6,1,1.43359,0.00134939,0.000449797,0.00134939,0.000449797,0.00134939,0.000449797,0.00134939,0.000449797
9,20.5612,1.30914,0.6,1,1.40137,0.00148668,0.000495559,0.00148668,0.000495559,0.00148668,0.000495559,0.00148668,0.000495559
10,21.5468,1.30156,0.6,1,1.41406,0.00161605,0.000538682,0.00161605,0.000538682,0.00161605,0.000538682,0.00161605,0.000538682
11,22.5273,1.26326,0.4,1,1.39941,0.00173749,0.000579164,0.00173749,0.000579164,0.00173749,0.000579164,0.00173749,0.000579164
12,23.7197,1.21522,0.6,1,1.35645,0.00185102,0.000617007,0.00185102,0.000617007,0.00185102,0.000617007,0.00185102,0.000617007
13,24.9742,1.16368,0.6,1,1.30859,0.00195663,0.00065221,0.00195663,0.00065221,0.00195663,0.00065221,0.00195663,0.00065221
14,26.4072,1.08518,0.6,1,1.27148,0.00205432,0.000684774,0.00205432,0.000684774,0.00205432,0.000684774,0.00205432,0.000684774
15,27.4446,1.02677,0.6,1,1.24609,0.00214409,0.000714697,0.00214409,0.000714697,0.00214409,0.000714697,0.00214409,0.000714697
16,28.7406,0.99735,0.4,1,1.24023,0.00222594,0.000741981,0.00222594,0.000741981,0.00222594,0.000741981,0.00222594,0.000741981
17,29.8225,0.88456,0.4,1,1.21094,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
18,31.3464,0.87718,0.6,1,1.2002,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
